33.0,5,222162.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,37
68.0,3,29240.0,11,9.0,6,9,1,4,0,0.0,0.0,12.0,37
34.0,3,103596.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,37
57.0,3,103403.0,4,3.0,2,13,0,4,1,0.0,0.0,40.0,37
48.0,3,152915.0,15,10.0,4,0,1,4,0,0.0,0.0,40.0,37
30.0,5,173792.0,15,10.0,5,9,4,2,0,0.0,0.0,40.0,37
25.0,6,152035.0,7,12.0,4,0,3,4,0,0.0,0.0,40.0,37
54.0,3,181246.0,15,10.0,2,11,0,4,1,0.0,0.0,40.0,37
31.0,3,291052.0,15,10.0,2,0,0,4,1,0.0,2051.0,40.0,37
63.0,5,344128.0,9,13.0,2,11,0,4,1,0.0,0.0,50.0,37
22.0,3,304710.0,9,13.0,4,0,1,1,0,0.0,0.0,10.0,38
37.0,5,86643.0,7,12.0,4,13,1,4,1,0.0,0.0,50.0,37
50.0,5,83311.0,9,13.0,2,3,0,4,1,0.0,0.0,13.0,37
52.0,5,42984.0,14,15.0,2,9,0,4,1,0.0,0.0,70.0,37
26.0,3,201635.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,37
23.0,3,130959.0,9,13.0,2,9,0,4,1,2407.0,0.0,6.0,1
38.0,0,172571.0,15,10.0,0,0,1,4,1,0.0,0.0,40.0,37
44.0,3,211351.0,15,10.0,2,11,5,4,0,4386.0,0.0,40.0,37
40.0,3,240504.0,9,13.0,2,11,0,4,1,0.0,0.0,45.0,37
47.0,3,202395.0,5,4.0,2,13,0,4,1,0.0,0.0,40.0,37
27.0,3,95725.0,1,7.0,2,2,0,4,1,0.0,1740.0,40.0,37
27.0,3,200227.0,8,11.0,2,0,5,2,0,0.0,0.0,40.0,37
53.0,3,30244.0,7,12.0,2,3,0,4,1,15024.0,0.0,40.0,37
59.0,3,182460.0,9,13.0,2,3,0,4,1,0.0,0.0,60.0,37
51.0,3,122288.0,15,10.0,6,6,4,4,0,0.0,0.0,36.0,37
48.0,3,350440.0,15,10.0,2,2,2,1,1,0.0,0.0,40.0,0
24.0,3,24243.0,11,9.0,4,2,1,4,1,0.0,1590.0,40.0,37
27.0,3,330466.0,9,13.0,4,12,2,1,1,0.0,0.0,40.0,37
28.0,3,252424.0,8,11.0,4,13,3,2,1,0.0,0.0,40.0,0
42.0,3,176716.0,12,14.0,4,3,1,4,1,0.0,0.0,40.0,37
24.0,3,203027.0,7,12.0,4,6,3,4,1,0.0,0.0,40.0,37
35.0,3,238980.0,15,10.0,4,11,1,4,1,0.0,0.0,40.0,37
22.0,3,236684.0,8,11.0,4,7,3,2,0,0.0,0.0,36.0,37
20.0,3,211049.0,15,10.0,4,3,3,4,0,0.0,0.0,30.0,37
31.0,3,114691.0,9,13.0,4,11,1,4,1,0.0,0.0,48.0,37
45.0,3,306122.0,9,13.0,4,7,1,2,0,0.0,0.0,44.0,37
17.0,3,151141.0,1,7.0,4,5,3,4,1,0.0,0.0,15.0,37
29.0,3,240738.0,11,9.0,2,9,0,4,1,0.0,0.0,40.0,37
43.0,3,245487.0,11,9.0,2,2,0,3,1,0.0,0.0,40.0,24
56.0,5,145574.0,11,9.0,2,7,0,4,1,0.0,1902.0,60.0,37
29.0,3,46442.0,9,13.0,2,9,5,4,0,0.0,1902.0,50.0,37
58.0,5,99141.0,11,9.0,0,4,4,4,0,0.0,0.0,10.0,37
40.0,3,105794.0,14,15.0,4,9,1,4,0,14084.0,0.0,50.0,37
49.0,3,151584.0,15,10.0,2,7,0,4,1,0.0,0.0,32.0,37
21.0,3,162228.0,11,9.0,4,11,3,4,1,0.0,0.0,30.0,37
18.0,3,111256.0,11,9.0,4,0,3,4,0,0.0,0.0,20.0,37
27.0,3,110622.0,4,3.0,4,11,3,1,0,0.0,0.0,20.0,38
50.0,3,30447.0,8,11.0,2,13,0,4,1,0.0,0.0,45.0,37
26.0,3,178037.0,9,13.0,4,11,1,4,1,0.0,0.0,40.0,19
43.0,3,210844.0,9,13.0,0,3,1,2,0,0.0,0.0,40.0,37
17.0,3,52486.0,1,7.0,4,7,3,4,0,0.0,0.0,12.0,37
67.0,3,134906.0,11,9.0,6,11,1,4,0,0.0,0.0,32.0,37
38.0,4,222532.0,14,15.0,4,11,1,4,0,0.0,0.0,45.0,37
38.0,3,220237.0,8,11.0,2,2,0,4,1,0.0,0.0,40.0,37
